,Title,Rank,Popularity,Score,Score_Count,Members,Favorites,Type,Episodes,Status,Season,Year,Producers,Licensors,Studios,Genres,Themes,Demographic
53,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,169,54,8.41,999315.0,1585890,36661,TV,12,Finished Airing,Winter,2019,"['Aniplex', 'Mainichi Broadcasting System', 'Magic Capsule', 'Shueisha', 'JR East Marketing & Communications']",['Aniplex of America'],['A-1 Pictures'],,"['Psychological', 'Romantic Subtext', 'School']",Seinen
54,Another,1798,55,7.48,943386.0,1580516,16826,TV,12,Finished Airing,Winter,2012,"['Lantis', 'Kadokawa Shoten', 'Toho', 'KlockWorx', 'Bandai Namco Live Creative', 'NTT Docomo']",['Sentai Filmworks'],['P.A. Works'],"['Horror', 'Mystery', 'Supernatural']","['Gore', 'School']",
55,Dr. Stone,258,56,8.29,954064.0,1579685,26050,TV,24,Finished Airing,Summer,2019,"['TOHO animation', 'Shueisha', '8PAN']","['Funimation', 'Crunchyroll']",['TMS Entertainment'],"['Adventure', 'Comedy', 'Sci-Fi']","['Survival', 'Time Travel']",Shounen
56,Shokugeki no Souma,395,57,8.16,953057.0,1560686,23366,TV,24,Finished Airing,Spring,2015,"['Dentsu', 'Frontier Works', 'Mainichi Broadcasting System', 'Magic Capsule', 'Warner Bros. Japan', 'KlockWorx', 'Showgate', 'Shueisha', 'I Will']",['Sentai Filmworks'],['J.C.Staff'],"['Gourmet', 'Ecchi']",School,Shounen
57,One Punch Man 2nd Season,1770,58,7.49,926296.0,1549964,6140,TV,12,Finished Airing,Spring,2019,"['TV Tokyo', 'Good Smile Company', 'Shueisha', 'JR East Marketing & Communications', 'Bandai Namco Arts', 'Bandai Spirits']",['VIZ Media'],['J.C.Staff'],"['Action', 'Comedy']","['Adult Cast', 'Parody', 'Super Power']",Seinen
58,Psycho-Pass,211,59,8.34,746191.0,1544108,37310,TV,22,Finished Airing,Fall,2012,"['Dentsu', 'Fuji TV', 'Nitroplus', 'Sony Music Entertainment', 'TOHO animation', 'Kyoraku Industrial Holdings']",['Funimation'],['Production I.G'],"['Action', 'Sci-Fi', 'Suspense']","['Adult Cast', 'Detective', 'Psychological']",
59,Soul Eater,844,60,7.84,806788.0,1541451,25611,TV,51,Finished Airing,Spring,2008,"['TV Tokyo', 'Aniplex', 'Dentsu', 'Media Factory']",['Funimation'],['Bones'],"['Action', 'Comedy', 'Fantasy']",School,Shounen
60,JoJo no Kimyou na Bouken (TV),725,61,7.9,989076.0,1534470,35269,TV,26,Finished Airing,Fall,2012,"['Yomiko Advertising', 'Warner Bros. Japan', 'Kamikaze Douga', 'KlockWorx', 'Shueisha']","['VIZ Media', 'Warner Bros. Pictures']",['David Production'],"['Action', 'Adventure', 'Supernatural']",Vampire,Shounen
61,Darling in the FranXX,2981,62,7.22,948723.0,1533803,30636,TV,24,Finished Airing,Winter,2018,"['Aniplex', 'Khara', 'Movic', 'Ultra Super Pictures', 'Lucent Pictures Entertainment', 'Tokyo MX', 'Nagoya Broadcasting Network', 'Asahi Broadcasting', 'BS11', 'Lawson', 'ABC Animation', 'Rialto Entertainment']",['Funimation'],"['A-1 Pictures', 'Trigger', 'CloverWorks']","['Action', 'Drama', 'Romance', 'Sci-Fi']",Mecha,
62,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,226,63,8.32,939593.0,1531927,32039,TV,11,Finished Airing,Spring,2011,"['Aniplex', 'Dentsu', 'Fuji TV', 'Fujipacific Music']","['NIS America, Inc.', 'Aniplex of America']",['A-1 Pictures'],"['Drama', 'Supernatural']",,
63,Tengen Toppa Gurren Lagann,75,64,8.63,855439.0,1524337,74923,TV,27,Finished Airing,Spring,2007,"['TV Tokyo', 'Aniplex', 'Dentsu', 'Konami', 'Half H.P Studio', 'Bandai']","['ADV Films', 'Bandai Entertainment', 'Aniplex of America']",['Gainax'],"['Action', 'Adventure', 'Award Winning', 'Sci-Fi']",Mecha,
64,Charlotte,1015,65,7.75,920747.0,1506760,21828,TV,13,Finished Airing,Summer,2015,"['Aniplex', 'Mainichi Broadcasting System', 'Movic', 'Visual Arts', 'ASCII Media Works', 'Tokyo MX', 'BS11']",['Aniplex of America'],['P.A. Works'],,"['School', 'Super Power']",
65,Black Clover,415,66,8.14,756847.0,1503799,42280,TV,170,Finished Airing,Fall,2017,"['TV Tokyo', 'Avex Pictures', 'Shueisha']","['Funimation', 'Crunchyroll']",['Pierrot'],"['Action', 'Comedy', 'Fantasy']",,Shounen
66,Hataraku Maou-sama!,997,67,7.76,908694.0,1480289,10867,TV,13,Finished Airing,Spring,2013,"['Sotsu', 'Lantis', 'Pony Canyon', 'Magic Capsule', 'KlockWorx', 'ASCII Media Works', 'Showgate', 'Infinite']",['Funimation'],['White Fox'],"['Comedy', 'Fantasy']","['Isekai', 'Mythology', 'Romantic Subtext', 'Workplace']",
67,Overlord,702,68,7.92,881728.0,1478787,24664,TV,13,Finished Airing,Summer,2015,"['AT-X', 'Grooove', 'Hakuhodo DY Music & Pictures', 'Kadokawa']",['Funimation'],['Madhouse'],"['Action', 'Adventure', 'Fantasy']",Isekai,
68,Tate no Yuusha no Nariagari,595,69,7.99,909702.0,1463487,25350,TV,25,Finished Airing,Winter,2019,"['Frontier Works', 'AT-X', 'Nippon Columbia', 'Glovision', 'Good Smile Company', 'Sammy', 'Crunchyroll', 'Kadokawa Media House', 'NTT Plala', 'Kadokawa']",['Funimation'],['Kinema Citrus'],"['Action', 'Adventure', 'Drama', 'Fantasy']",Isekai,
69,Elfen Lied,1754,70,7.49,841329.0,1443578,23335,TV,13,Finished Airing,Summer,2004,"['VAP', 'Genco', 'Studio Guts']",['ADV Films'],['Arms'],"['Action', 'Drama', 'Horror', 'Romance', 'Supernatural']","['Gore', 'Psychological']",Seinen
70,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,1547,71,7.55,899037.0,1439461,11353,TV,13,Finished Airing,Spring,2015,"['Genco', 'Movic', 'Warner Bros. Japan', 'KlockWorx', 'SoftBank Creative', 'Showgate', 'MAGES.', 'FuRyu']",['Sentai Filmworks'],['J.C.Staff'],"['Action', 'Adventure', 'Fantasy']",,
71,Highschool of the Dead,3698,72,7.08,899532.0,1428763,9768,TV,12,Finished Airing,Summer,2010,"['Geneon Universal Entertainment', 'AT-X', 'Showgate']",['Sentai Filmworks'],['Madhouse'],"['Action', 'Horror', 'Supernatural', 'Ecchi']","['Gore', 'Survival']",Shounen
72,Fate/Zero,265,73,8.28,817723.0,1426060,32898,TV,13,Finished Airing,Fall,2011,"['Aniplex', 'Nitroplus', 'Seikaisha', 'Notes']",['Aniplex of America'],['ufotable'],"['Action', 'Fantasy', 'Supernatural']",,
73,Fullmetal Alchemist,436,74,8.12,858509.0,1408773,25269,TV,51,Finished Airing,Fall,2003,"['Aniplex', 'Dentsu', 'Square Enix', 'Mainichi Broadcasting System']","['Funimation', 'Aniplex of America']",['Bones'],"['Action', 'Adventure', 'Award Winning', 'Drama', 'Fantasy']",Military,Shounen
74,Kono Subarashii Sekai ni Shukufuku wo! 2,274,75,8.27,936180.0,1405820,11605,TV,10,Finished Airing,Winter,2017,"['Kadokawa Shoten', 'Nippon Columbia', 'KlockWorx', 'Sony Music Communications', 'Toranoana', '81 Produce', 'Kadokawa Media House']",['Discotek Media'],['Studio Deen'],"['Adventure', 'Comedy', 'Fantasy']","['Isekai', 'Parody', 'Reincarnation']",
75,Mob Psycho 100 II,32,76,8.8,875606.0,1392665,31341,TV,13,Finished Airing,Winter,2019,"['Warner Bros. Japan', 'KlockWorx', 'BS Fuji', 'Hakuhodo DY Music & Pictures', 'Shogakukan']",['Funimation'],['Bones'],"['Action', 'Comedy', 'Supernatural']",Super Power,
76,Noragami Aragoto,393,77,8.16,852170.0,1380844,11376,TV,13,Finished Airing,Fall,2015,"['Dentsu', 'Shochiku', 'Kodansha', 'Ai Addiction', 'Avex Pictures', 'A-Sketch']",['Funimation'],['Bones'],"['Action', 'Fantasy']",Mythology,Shounen
