Title,Rank,Popularity,Score,Score_Count,Members,Favorites,Type,Episodes,Status,Season,Year,Studios,Demographic
Black Bullet,3605,167,7.1,471677.0,884433,3687,TV,13,Finished Airing,Spring,2014,Kinema Citrus,
Black Bullet,3605,167,7.1,471677.0,884433,3687,TV,13,Finished Airing,Spring,2014,Orange,
Gekkan Shoujo Nozaki-kun,832,168,7.84,484148.0,883232,10681,TV,12,Finished Airing,Summer,2014,Doga Kobo,
Suzumiya Haruhi no Yuuutsu,854,169,7.83,461152.0,879275,14810,TV,14,Finished Airing,Spring,2006,Kyoto Animation,
Hellsing Ultimate,201,170,8.36,453847.0,872368,20671,OVA,10,Finished Airing,,2006,Madhouse,Seinen
Hellsing Ultimate,201,170,8.36,453847.0,872368,20671,OVA,10,Finished Airing,,2006,Satelight,Seinen
Hellsing Ultimate,201,170,8.36,453847.0,872368,20671,OVA,10,Finished Airing,,2006,Graphinica,Seinen
High School DxD New,1805,171,7.48,569007.0,870878,4449,TV,12,Finished Airing,Summer,2013,TNK,
Kimi ni Todoke,588,172,8.0,423570.0,869708,12534,TV,25,Finished Airing,Fall,2009,Production I.G,Shoujo
Ao Haru Ride,1278,173,7.64,467034.0,869251,9897,TV,12,Finished Airing,Summer,2014,Production I.G,Shoujo
Baccano!,190,174,8.37,367675.0,867102,22762,TV,13,Finished Airing,Summer,2007,"""Brains Base""",
Kimi no Suizou wo Tabetai,101,175,8.56,516621.0,866481,18991,Movie,1,Finished Airing,,2018,Others,
5-toubun no Hanayome,1204,176,7.67,559432.0,866183,13025,TV,12,Finished Airing,Winter,2019,Tezuka Productions,Shounen
Yakusoku no Neverland 2nd Season,12296,177,5.32,432844.0,864026,4504,TV,11,Finished Airing,Winter,2021,CloverWorks,Shounen
Neon Genesis Evangelion: The End of Evangelion,104,178,8.55,571495.0,857592,26586,Movie,1,Finished Airing,,1997,Gainax,
Neon Genesis Evangelion: The End of Evangelion,104,178,8.55,571495.0,857592,26586,Movie,1,Finished Airing,,1997,Production I.G,
Haikyuu!! To the Top,200,179,8.36,523358.0,853730,4971,TV,13,Finished Airing,Winter,2020,Production I.G,Shounen
Kami no Tou,1516,180,7.56,493830.0,848489,6081,TV,13,Finished Airing,Spring,2020,Others,
Youjo Senki,626,181,7.97,462318.0,847336,11453,TV,12,Finished Airing,Winter,2017,Others,
Mahoutsukai no Yome,513,182,8.06,352157.0,846063,11005,TV,24,Finished Airing,Fall,2017,Wit Studio,Shounen
Tensei shitara Slime Datta Ken 2nd Season,184,183,8.39,477062.0,842213,10204,TV,12,Finished Airing,Winter,2021,8bit,
The God of High School,3774,184,7.07,475398.0,837970,3983,TV,13,Finished Airing,Summer,2020,MAPPA,
Nichijou,142,185,8.46,343445.0,837072,22170,TV,26,Finished Airing,Spring,2011,Kyoto Animation,Shounen
Yuri!!! on Ice,737,186,7.9,502820.0,835558,19955,TV,12,Finished Airing,Fall,2016,MAPPA,
Overlord III,703,187,7.92,516939.0,833086,5206,TV,13,Finished Airing,Summer,2018,Madhouse,
