Title,Rank,Popularity,Score,Score_Count,Members,Favorites,Type,Episodes,Status,Season,Year,Genres,Demographic
Beastars 2nd Season,888,507,7.81,201967,402854,2139,TV,12,Finished Airing,Winter,2021,Drama,Shounen
Beastars 2nd Season,888,507,7.81,201967,402854,2139,TV,12,Finished Airing,Winter,2021,Slice of Life,Shounen
Break Blade Movie 5: Shisen no Hate,889,2711,7.81,33017,54555,27,Movie,1,Finished Airing,,2011,Action,Shounen
Break Blade Movie 5: Shisen no Hate,889,2711,7.81,33017,54555,27,Movie,1,Finished Airing,,2011,Fantasy,Shounen
Detective Conan Movie 08: Time Travel of the Silver Sky,890,4416,7.81,10134,20616,8,Special,1,Finished Airing,,2004,Adventure,
Detective Conan Movie 08: Time Travel of the Silver Sky,890,4416,7.81,10134,20616,8,Special,1,Finished Airing,,2004,Mystery,
Enen no Shouboutai: Ni no Shou,891,259,7.81,358800,689745,2650,TV,24,Finished Airing,Summer,2020,Action,Shounen
Enen no Shouboutai: Ni no Shou,891,259,7.81,358800,689745,2650,TV,24,Finished Airing,Summer,2020,Supernatural,Shounen
Fate/Grand Order: Shuukyoku Tokuiten - Kani Jikan Shinden Solomon,892,2473,7.81,23346,64583,379,Movie,1,Finished Airing,,2021,Action,
Fate/Grand Order: Shuukyoku Tokuiten - Kani Jikan Shinden Solomon,892,2473,7.81,23346,64583,379,Movie,1,Finished Airing,,2021,Fantasy,
Fate/Grand Order: Shuukyoku Tokuiten - Kani Jikan Shinden Solomon,892,2473,7.81,23346,64583,379,Movie,1,Finished Airing,,2021,Supernatural,
Goku Sayonara Zetsubou Sensei,893,2511,7.81,29972,62783,86,OVA,3,Finished Airing,,2008,,Shounen
Jungle wa Itsumo Hare nochi Guu,894,3536,7.81,13922,32934,392,TV,26,Finished Airing,Spring,2001,Comedy,Shounen
Jungle wa Itsumo Hare nochi Guu,894,3536,7.81,13922,32934,392,TV,26,Finished Airing,Spring,2001,Slice of Life,Shounen
Yi Nian Yong Heng,895,5316,7.81,3312,13102,129,ONA,52,Finished Airing,,2020,Action,
Yi Nian Yong Heng,895,5316,7.81,3312,13102,129,ONA,52,Finished Airing,,2020,Comedy,
Yi Nian Yong Heng,895,5316,7.81,3312,13102,129,ONA,52,Finished Airing,,2020,Fantasy,
Kuroko no Basket: Tip Off,896,1881,7.81,54663,99826,83,Special,1,Finished Airing,,2013,,Shounen
Lupin the IIIrd: Jigen Daisuke no Bohyou,897,3897,7.81,12663,27268,85,Movie,1,Finished Airing,,2014,Action,Seinen
Lupin the IIIrd: Jigen Daisuke no Bohyou,897,3897,7.81,12663,27268,85,Movie,1,Finished Airing,,2014,Adventure,Seinen
Lupin the IIIrd: Jigen Daisuke no Bohyou,897,3897,7.81,12663,27268,85,Movie,1,Finished Airing,,2014,Drama,Seinen
Maria-sama ga Miteru 3rd,898,4317,7.81,9956,21730,87,OVA,5,Finished Airing,,2006,Drama,
Maria-sama ga Miteru 3rd,898,4317,7.81,9956,21730,87,OVA,5,Finished Airing,,2006,Girls Love,
Marine Shukkou!!,899,8042,7.81,2731,4696,44,Music,1,Finished Airing,,2022,,
Owarimonogatari 2nd Season Recaps,900,4096,7.81,8644,24524,41,Special,2,Finished Airing,,2017,Comedy,
Owarimonogatari 2nd Season Recaps,900,4096,7.81,8644,24524,41,Special,2,Finished Airing,,2017,Mystery,
