Title,Rank,Popularity,Score,Score_Count,Members,Favorites,Type,Episodes,Status,Season,Year,Studios,Demographic
Nichijou,140,185,8.46,342715,835588,22133,TV,26,Finished Airing,Spring,2011,Kyoto Animation,Shounen
Mo Dao Zu Shi,141,1023,8.45,70738,211583,6169,ONA,15,Finished Airing,,2018,B.CMAY PICTURES,
Owarimonogatari,142,441,8.45,222620,454639,2779,TV,12,Finished Airing,Fall,2015,Shaft,
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,143,204,8.45,452286,786196,11623,TV,12,Finished Airing,Winter,2021,White Fox,
Steins;Gate Movie: Fuka Ryouiki no Déjà vu,144,346,8.45,336376,561855,2502,Movie,1,Finished Airing,,2013,White Fox,
Yuu☆Yuu☆Hakusho,145,290,8.45,309444,640793,21254,TV,112,Finished Airing,Fall,1992,Pierrot,Shounen
Zoku Owarimonogatari,146,1031,8.45,98180,210264,935,Movie,6,Finished Airing,,2018,Shaft,
Golden Kamuy 3rd Season,147,1406,8.45,70698,147372,1380,TV,12,Finished Airing,Fall,2020,Others,Seinen
Karakai Jouzu no Takagi-san 3,148,1303,8.45,69385,162817,2226,TV,12,Finished Airing,Winter,2022,Shin-Ei Animation,Shounen
Haikyuu!!,149,36,8.44,1137927,1827142,69919,TV,25,Finished Airing,Spring,2014,Production I.G,Shounen
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season,150,133,8.44,724152,1019040,19557,TV,24,Finished Airing,Winter,2015,David Production,Shounen
Mushishi Zoku Shou: Odoro no Michi,151,1947,8.44,46631,95249,116,Special,1,Finished Airing,,2014,Artland,Seinen
Saenai Heroine no Sodatekata Fine,152,1275,8.44,72954,167586,2343,Movie,1,Finished Airing,,2019,CloverWorks,
Tian Guan Ci Fu Special,153,3328,8.44,18907,37266,378,ONA,1,Finished Airing,,2021,Others,
Kono Oto Tomare! Part 2,154,1340,8.43,83456,157723,1602,TV,13,Finished Airing,Fall,2019,Others,Shounen
Koukaku Kidoutai: Stand Alone Complex,155,537,8.43,158606,379645,8322,TV,26,Finished Airing,Fall,2002,Production I.G,Seinen
Mo Dao Zu Shi: Xian Yun Pian,156,1952,8.43,43177,94902,1133,ONA,8,Finished Airing,,2019,B.CMAY PICTURES,
Mononoke,157,723,8.43,84089,298854,7503,TV,12,Finished Airing,Summer,2007,Toei Animation,
Saiki Kusuo no Ψ-nan 2,158,329,8.43,350939,588113,3985,TV,24,Finished Airing,Winter,2018,J.C.Staff,Shounen
Saiki Kusuo no Ψ-nan 2,158,329,8.43,350939,588113,3985,TV,24,Finished Airing,Winter,2018,Egg Firm,Shounen
Gintama: Yorinuki Gintama-san on Theater 2D,159,3135,8.43,15842,41734,43,Movie,2,Finished Airing,,2012,Sunrise,Shounen
Grand Blue,160,244,8.43,379424,708339,17878,TV,12,Finished Airing,Summer,2018,Others,Seinen
Josee to Tora to Sakana-tachi,161,580,8.42,180621,360846,5423,Movie,1,Finished Airing,,2020,Bones,
Saiki Kusuo no Ψ-nan,162,136,8.42,561556,1006739,26920,TV,120,Finished Airing,Summer,2016,J.C.Staff,Shounen
Saiki Kusuo no Ψ-nan,162,136,8.42,561556,1006739,26920,TV,120,Finished Airing,Summer,2016,Egg Firm,Shounen
Vivy: Fluorite Eye's Song,163,412,8.42,214444,477657,9712,TV,13,Finished Airing,Spring,2021,Wit Studio,
Violet Evergarden Gaiden: Eien to Jidou Shuki Ningyou,164,543,8.41,219280,376575,1400,Movie,1,Finished Airing,,2019,Kyoto Animation,
Wu Liuqi: Xuanwu Guo Pian,165,2864,8.41,26610,49204,714,ONA,10,Finished Airing,,2021,Others,
Hunter x Hunter,166,354,8.41,270010,553714,10280,TV,62,Finished Airing,Fall,1999,Nippon Animation,Shounen
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,167,54,8.41,996597,1581504,36589,TV,12,Finished Airing,Winter,2019,A-1 Pictures,Seinen
Major S5,168,2389,8.41,39830,68068,618,TV,25,Finished Airing,Winter,2009,SynergySP,Shounen
Natsume Yuujinchou Movie: Utsusemi ni Musubu,169,2442,8.41,22707,65625,182,Movie,1,Finished Airing,,2018,Shuka,Shoujo
Shingeki no Kyojin: Kuinaki Sentaku,170,413,8.41,284592,476213,1824,OVA,2,Finished Airing,,2014,Wit Studio,
Sayonara no Asa ni Yakusoku no Hana wo Kazarou,171,526,8.4,171578,390872,6786,Movie,1,Finished Airing,,2018,P.A. Works,
Gintama°: Aizome Kaori-hen,172,2165,8.4,42036,79918,130,OVA,2,Finished Airing,,2016,Bandai Namco Pictures,Shounen
Houseki no Kuni,173,479,8.4,180660,423263,12325,TV,12,Finished Airing,Fall,2017,Others,Seinen
Kara no Kyoukai Movie 7: Satsujin Kousatsu (Go),174,1091,8.4,107271,197847,2266,Movie,1,Finished Airing,,2009,ufotable,
Kaze ga Tsuyoku Fuiteiru,175,775,8.4,127830,279627,5706,TV,23,Finished Airing,Fall,2018,Production I.G,
Chihayafuru 2,176,963,8.39,123575,223672,1579,TV,25,Finished Airing,Winter,2013,Madhouse,Josei
Cross Game,177,1651,8.39,48911,119398,2973,TV,50,Finished Airing,Spring,2009,SynergySP,Shounen
Kamisama Hajimemashita: Kako-hen,178,1353,8.39,76359,155677,950,OVA,4,Finished Airing,,2015,TMS Entertainment,Shoujo
Kimetsu no Yaiba: Mugen Ressha-hen,179,340,8.39,331172,571822,3676,TV,7,Finished Airing,Fall,2021,ufotable,Shounen
Natsume Yuujinchou Roku Specials,180,3066,8.39,18890,43217,67,Special,2,Finished Airing,,2017,Shuka,Shoujo
Tensei shitara Slime Datta Ken 2nd Season,181,183,8.39,475099,839129,10185,TV,12,Finished Airing,Winter,2021,8bit,
Tian Guan Ci Fu,182,1719,8.39,47409,113695,4245,ONA,11,Finished Airing,,2020,Others,
Non Non Biyori Nonstop,183,1734,8.38,41278,112626,896,TV,12,Finished Airing,Winter,2021,SILVER LINK.,Seinen
3-gatsu no Lion,184,288,8.38,265537,641110,14912,TV,22,Finished Airing,Fall,2016,Shaft,Seinen
Barakamon,185,298,8.38,323159,627912,12435,TV,12,Finished Airing,Summer,2014,Kinema Citrus,
Cowboy Bebop: Tengoku no Tobira,186,594,8.38,202387,353743,1403,Movie,1,Finished Airing,,2001,Bones,
Kage no Jitsuryokusha ni Naritakute!,187,539,8.38,146735,377699,7425,TV,20,Finished Airing,Fall,2022,Others,
Baccano!,188,174,8.37,367354,866228,22760,TV,13,Finished Airing,Summer,2007,"""Brains Base""",
Fumetsu no Anata e,189,206,8.37,321413,782856,13214,TV,20,Finished Airing,Spring,2021,"""Brains Base""",Shounen
Usagi Drop,190,415,8.37,234204,473664,5971,TV,11,Finished Airing,Summer,2011,Production I.G,Josei
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan,191,273,8.37,358744,663495,13308,TV,12,Finished Airing,Summer,2020,feel.,
Yoru ni Kakeru,192,4792,8.37,10703,17084,84,Music,1,Finished Airing,,2019,Others,
Kizumonogatari I: Tekketsu-hen,193,398,8.37,266061,496951,3329,Movie,1,Finished Airing,,2016,Shaft,
Made in Abyss Movie 2: Hourou Suru Tasogare,194,1669,8.37,44673,117811,200,Movie,1,Finished Airing,,2019,Kinema Citrus,
Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,195,1113,8.37,96062,192779,1017,Movie,1,Finished Airing,,2012,Shaft,
Mushoku Tensei: Isekai Ittara Honki Dasu,196,120,8.37,668006,1100514,27115,TV,11,Finished Airing,Winter,2021,Others,
Mahou Shoujo Madoka★Magica,197,97,8.36,711566,1213062,51733,TV,12,Finished Airing,Winter,2011,Shaft,
Haikyuu!! To the Top,198,179,8.36,521949,851458,4957,TV,13,Finished Airing,Winter,2020,Production I.G,Shounen
Hellsing Ultimate,199,170,8.36,453036,870673,20620,OVA,10,Finished Airing,,2006,Madhouse,Seinen
Hellsing Ultimate,199,170,8.36,453036,870673,20620,OVA,10,Finished Airing,,2006,Satelight,Seinen
Hellsing Ultimate,199,170,8.36,453036,870673,20620,OVA,10,Finished Airing,,2006,Others,Seinen
Kaze no Tani no Nausicaä,200,604,8.36,218689,349209,4792,Movie,1,Finished Airing,,1984,Others,
Bakuman. 2nd Season,201,624,8.35,204492,339866,1361,TV,25,Finished Airing,Fall,2011,J.C.Staff,Shounen
Gintama: Shiroyasha Koutan,202,2430,8.35,32623,66331,87,Special,1,Finished Airing,,2008,Sunrise,
K-On! Movie,203,692,8.35,183012,311060,2614,Movie,1,Finished Airing,,2011,Kyoto Animation,
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season,204,135,8.35,580680,1013084,11148,TV,13,Finished Airing,Summer,2020,White Fox,
Spy x Family Part 2,205,260,8.35,302052,686701,6451,TV,13,Finished Airing,Fall,2022,Wit Studio,Shounen
Spy x Family Part 2,205,260,8.35,302052,686701,6451,TV,13,Finished Airing,Fall,2022,CloverWorks,Shounen
Kiseijuu: Sei no Kakuritsu,206,42,8.34,1080183,1743917,33005,TV,24,Finished Airing,Fall,2014,Madhouse,Seinen
Neon Genesis Evangelion,207,46,8.34,998097,1675400,98302,TV,26,Finished Airing,Fall,1995,Gainax,
Neon Genesis Evangelion,207,46,8.34,998097,1675400,98302,TV,26,Finished Airing,Fall,1995,Tatsunoko Production,
Psycho-Pass,208,59,8.34,745219,1541765,37263,TV,22,Finished Airing,Fall,2012,Production I.G,
