Title,Rank,Popularity,Score,Score_Count,Members,Favorites,Type,Episodes,Status,Season,Year,Themes,Demographic
Natsume Yuujinchou San,88,903,8.58,111904,239471,1351,TV,13,Finished Airing,Summer,2011,Mythology,Shoujo
Ookami Kodomo no Ame to Yuki,89,219,8.58,436775,770494,10972,Movie,1,Finished Airing,,2012,Childcare,
Natsume Yuujinchou Go,90,1238,8.57,69802,173071,793,TV,11,Finished Airing,Fall,2016,Iyashikei,Shoujo
Natsume Yuujinchou Go,90,1238,8.57,69802,173071,793,TV,11,Finished Airing,Fall,2016,Mythology,Shoujo
Shouwa Genroku Rakugo Shinjuu,91,785,8.57,90132,277394,5652,TV,13,Finished Airing,Winter,2016,Historical,Josei
Shouwa Genroku Rakugo Shinjuu,91,785,8.57,90132,277394,5652,TV,13,Finished Airing,Winter,2016,Love Polygon,Josei
Shouwa Genroku Rakugo Shinjuu,91,785,8.57,90132,277394,5652,TV,13,Finished Airing,Winter,2016,Performing Arts,Josei
Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,92,1060,8.57,95394,203606,930,Movie,1,Finished Airing,,2009,Mecha,
Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,92,1060,8.57,95394,203606,930,Movie,1,Finished Airing,,2009,Space,
Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,92,1060,8.57,95394,203606,930,Movie,1,Finished Airing,,2009,Super Power,
Yojouhan Shinwa Taikei,93,483,8.57,135901,419864,17418,TV,11,Finished Airing,Spring,2010,Psychological,
Yojouhan Shinwa Taikei,93,483,8.57,135901,419864,17418,TV,11,Finished Airing,Spring,2010,Time Travel,
Ousama Ranking,94,359,8.56,275778,538258,11471,TV,23,Finished Airing,Fall,2021,,
Fate/Zero 2nd Season,95,128,8.56,673439,1056717,19929,TV,12,Finished Airing,Spring,2012,,
Fruits Basket 2nd Season,96,443,8.56,226945,452374,5549,TV,25,Finished Airing,Spring,2020,School,Shoujo
Karakai Jouzu no Takagi-san Movie,97,2833,8.56,15712,50079,550,Movie,1,Finished Airing,,2022,Iyashikei,Shounen
Karakai Jouzu no Takagi-san Movie,97,2833,8.56,15712,50079,550,Movie,1,Finished Airing,,2022,Romantic Subtext,Shounen
Karakai Jouzu no Takagi-san Movie,97,2833,8.56,15712,50079,550,Movie,1,Finished Airing,,2022,School,Shounen
Kenpuu Denki Berserk,98,328,8.56,313931,589412,24527,TV,25,Finished Airing,Fall,1997,Gore,Seinen
Kenpuu Denki Berserk,98,328,8.56,313931,589412,24527,TV,25,Finished Airing,Fall,1997,Military,Seinen
Kenpuu Denki Berserk,98,328,8.56,313931,589412,24527,TV,25,Finished Airing,Fall,1997,Mythology,Seinen
Kimi no Suizou wo Tabetai,99,176,8.56,514804,863453,18947,Movie,1,Finished Airing,,2018,School,
Haikyuu!! To the Top Part 2,100,236,8.55,428865,731175,5828,TV,12,Finished Airing,Fall,2020,School,Shounen
Haikyuu!! To the Top Part 2,100,236,8.55,428865,731175,5828,TV,12,Finished Airing,Fall,2020,Team Sports,Shounen
Zoku Natsume Yuujinchou,101,913,8.55,119303,236147,1397,TV,13,Finished Airing,Winter,2009,Iyashikei,Shoujo
Zoku Natsume Yuujinchou,101,913,8.55,119303,236147,1397,TV,13,Finished Airing,Winter,2009,Mythology,Shoujo
Neon Genesis Evangelion: The End of Evangelion,102,178,8.55,570041,855332,26534,Movie,1,Finished Airing,,1997,Mecha,
Neon Genesis Evangelion: The End of Evangelion,102,178,8.55,570041,855332,26534,Movie,1,Finished Airing,,1997,Psychological,
Mushishi: Hihamukage,103,1526,8.54,63369,131238,180,Special,1,Finished Airing,,2014,Historical,Seinen
Mushishi: Hihamukage,103,1526,8.54,63369,131238,180,Special,1,Finished Airing,,2014,Iyashikei,Seinen
Slam Dunk,104,790,8.54,125961,275807,6688,TV,101,Finished Airing,Fall,1993,School,Shounen
Slam Dunk,104,790,8.54,125961,275807,6688,TV,101,Finished Airing,Fall,1993,Team Sports,Shounen
Bakuman. 3rd Season,105,671,8.54,186689,317247,2916,TV,25,Finished Airing,Fall,2012,Otaku Culture,Shounen
Kara no Kyoukai Movie 5: Mujun Rasen,106,946,8.53,126305,227693,4454,Movie,1,Finished Airing,,2008,,
Nana,107,322,8.53,229153,601621,26315,TV,47,Finished Airing,Spring,2006,Adult Cast,Shoujo
Nana,107,322,8.53,229153,601621,26315,TV,47,Finished Airing,Spring,2006,Love Polygon,Shoujo
Nana,107,322,8.53,229153,601621,26315,TV,47,Finished Airing,Spring,2006,Music,Shoujo
Perfect Blue,108,297,8.53,334939,628595,17000,Movie,1,Finished Airing,,1998,Adult Cast,
Perfect Blue,108,297,8.53,334939,628595,17000,Movie,1,Finished Airing,,1998,Psychological,
Perfect Blue,108,297,8.53,334939,628595,17000,Movie,1,Finished Airing,,1998,Showbiz,
Road of Naruto,109,4330,8.53,13509,21530,90,ONA,1,Finished Airing,,2022,Martial Arts,Shounen
Shingeki no Kyojin,110,1,8.53,2599935,3657340,160121,TV,25,Finished Airing,Spring,2013,Gore,Shounen
Shingeki no Kyojin,110,1,8.53,2599935,3657340,160121,TV,25,Finished Airing,Spring,2013,Military,Shounen
Shingeki no Kyojin,110,1,8.53,2599935,3657340,160121,TV,25,Finished Airing,Spring,2013,Survival,Shounen
Shoujo☆Kageki Revue Starlight Movie,111,5070,8.53,5636,14636,591,Movie,1,Finished Airing,,2021,Music,
Shoujo☆Kageki Revue Starlight Movie,111,5070,8.53,5636,14636,591,Movie,1,Finished Airing,,2021,Performing Arts,
Shoujo☆Kageki Revue Starlight Movie,111,5070,8.53,5636,14636,591,Movie,1,Finished Airing,,2021,School,
