Title,Rank,Popularity,Score,Score_Count,Members,Favorites,Type,Episodes,Status,Season,Year,Producers,Demographic
Beastars,816,202,7.85,492547.0,791038,9356,TV,12,Finished Airing,Fall,2019,Bandai,Shounen
Beastars,816,202,7.85,492547.0,791038,9356,TV,12,Finished Airing,Fall,2019,Toho,Shounen
Beastars,816,202,7.85,492547.0,791038,9356,TV,12,Finished Airing,Fall,2019,BS Fuji,Shounen
Beastars,816,202,7.85,492547.0,791038,9356,TV,12,Finished Airing,Fall,2019,TOHO animation,Shounen
Beastars,816,202,7.85,492547.0,791038,9356,TV,12,Finished Airing,Fall,2019,Q-Tec,Shounen
Beastars,816,202,7.85,492547.0,791038,9356,TV,12,Finished Airing,Fall,2019,Akita Shoten,Shounen
Beastars,816,202,7.85,492547.0,791038,9356,TV,12,Finished Airing,Fall,2019,Hakuhodo DY Media Partners,Shounen
Beastars,816,202,7.85,492547.0,791038,9356,TV,12,Finished Airing,Fall,2019,Bandai Spirits,Shounen
Beastars,816,202,7.85,492547.0,791038,9356,TV,12,Finished Airing,Fall,2019,Toho Music,Shounen
Banana Fish,133,203,8.49,339510.0,788944,28459,TV,24,Finished Airing,Summer,2018,Aniplex,Shoujo
Banana Fish,133,203,8.49,339510.0,788944,28459,TV,24,Finished Airing,Summer,2018,Dentsu,Shoujo
Banana Fish,133,203,8.49,339510.0,788944,28459,TV,24,Finished Airing,Summer,2018,Movic,Shoujo
Banana Fish,133,203,8.49,339510.0,788944,28459,TV,24,Finished Airing,Summer,2018,Fuji TV,Shoujo
Banana Fish,133,203,8.49,339510.0,788944,28459,TV,24,Finished Airing,Summer,2018,Shogakukan,Shoujo
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,145,204,8.45,453894.0,788824,11636,TV,12,Finished Airing,Winter,2021,AT-X,
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,145,204,8.45,453894.0,788824,11636,TV,12,Finished Airing,Winter,2021,Memory-Tech,
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,145,204,8.45,453894.0,788824,11636,TV,12,Finished Airing,Winter,2021,Hakuhodo DY Music & Pictures,
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,145,204,8.45,453894.0,788824,11636,TV,12,Finished Airing,Winter,2021,Kadokawa Media House,
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,145,204,8.45,453894.0,788824,11636,TV,12,Finished Airing,Winter,2021,Kadokawa,
Fumetsu no Anata e,191,205,8.37,322858.0,785672,13251,TV,20,Finished Airing,Spring,2021,NHK,Shounen
Fumetsu no Anata e,191,205,8.37,322858.0,785672,13251,TV,20,Finished Airing,Spring,2021,Kodansha,Shounen
Fumetsu no Anata e,191,205,8.37,322858.0,785672,13251,TV,20,Finished Airing,Spring,2021,NHK Enterprises,Shounen
Zero no Tsukaima,2875,206,7.24,446706.0,784750,7809,TV,13,Finished Airing,Summer,2006,Genco,
Zero no Tsukaima,2875,206,7.24,446706.0,784750,7809,TV,13,Finished Airing,Summer,2006,Media Factory,
Zero no Tsukaima,2875,206,7.24,446706.0,784750,7809,TV,13,Finished Airing,Summer,2006,Shochiku,
Zero no Tsukaima,2875,206,7.24,446706.0,784750,7809,TV,13,Finished Airing,Summer,2006,Bushiroad,
Zero no Tsukaima,2875,206,7.24,446706.0,784750,7809,TV,13,Finished Airing,Summer,2006,Happinet Pictures,
Akira,383,207,8.16,473329.0,784476,12609,Movie,1,Finished Airing,,1988,Mainichi Broadcasting System,Seinen
Akira,383,207,8.16,473329.0,784476,12609,Movie,1,Finished Airing,,1988,Kodansha,Seinen
Akira,383,207,8.16,473329.0,784476,12609,Movie,1,Finished Airing,,1988,Toho,Seinen
Akira,383,207,8.16,473329.0,784476,12609,Movie,1,Finished Airing,,1988,Streamline Pictures,Seinen
Mushishi,62,208,8.66,264458.0,781317,25639,TV,26,Finished Airing,Fall,2005,Avex Entertainment,Seinen
Mushishi,62,208,8.66,264458.0,781317,25639,TV,26,Finished Airing,Fall,2005,Marvelous,Seinen
Mushishi,62,208,8.66,264458.0,781317,25639,TV,26,Finished Airing,Fall,2005,SKY Perfect Well Think,Seinen
Mushishi,62,208,8.66,264458.0,781317,25639,TV,26,Finished Airing,Fall,2005,Delfi Sound,Seinen
Danshi Koukousei no Nichijou,299,209,8.24,393294.0,779740,13664,TV,12,Finished Airing,Winter,2012,TV Tokyo,
Danshi Koukousei no Nichijou,299,209,8.24,393294.0,779740,13664,TV,12,Finished Airing,Winter,2012,Square Enix,
Danshi Koukousei no Nichijou,299,209,8.24,393294.0,779740,13664,TV,12,Finished Airing,Winter,2012,Trinity Sound,
Danshi Koukousei no Nichijou,299,209,8.24,393294.0,779740,13664,TV,12,Finished Airing,Winter,2012,Happinet Pictures,
"Komi-san wa, Comyushou desu.",644,210,7.95,400325.0,779646,11540,TV,12,Finished Airing,Fall,2021,TV Tokyo,Shounen
"Komi-san wa, Comyushou desu.",644,210,7.95,400325.0,779646,11540,TV,12,Finished Airing,Fall,2021,Dentsu,Shounen
"Komi-san wa, Comyushou desu.",644,210,7.95,400325.0,779646,11540,TV,12,Finished Airing,Fall,2021,Shogakukan-Shueisha Productions,Shounen
"Komi-san wa, Comyushou desu.",644,210,7.95,400325.0,779646,11540,TV,12,Finished Airing,Fall,2021,Half H.P Studio,Shounen
