Title,Rank,Popularity,Score,Score_Count,Members,Favorites,Type,Episodes,Status,Season,Year,Genres,Demographic
Psycho-Pass,211,59,8.34,746191.0,1544108,37310,TV,22,Finished Airing,Fall,2012,Sci-Fi,
Psycho-Pass,211,59,8.34,746191.0,1544108,37310,TV,22,Finished Airing,Fall,2012,Suspense,
Soul Eater,844,60,7.84,806788.0,1541451,25611,TV,51,Finished Airing,Spring,2008,Action,Shounen
Soul Eater,844,60,7.84,806788.0,1541451,25611,TV,51,Finished Airing,Spring,2008,Comedy,Shounen
Soul Eater,844,60,7.84,806788.0,1541451,25611,TV,51,Finished Airing,Spring,2008,Fantasy,Shounen
JoJo no Kimyou na Bouken (TV),725,61,7.9,989076.0,1534470,35269,TV,26,Finished Airing,Fall,2012,Action,Shounen
JoJo no Kimyou na Bouken (TV),725,61,7.9,989076.0,1534470,35269,TV,26,Finished Airing,Fall,2012,Adventure,Shounen
JoJo no Kimyou na Bouken (TV),725,61,7.9,989076.0,1534470,35269,TV,26,Finished Airing,Fall,2012,Supernatural,Shounen
Darling in the FranXX,2981,62,7.22,948723.0,1533803,30636,TV,24,Finished Airing,Winter,2018,Action,
Darling in the FranXX,2981,62,7.22,948723.0,1533803,30636,TV,24,Finished Airing,Winter,2018,Drama,
Darling in the FranXX,2981,62,7.22,948723.0,1533803,30636,TV,24,Finished Airing,Winter,2018,Romance,
Darling in the FranXX,2981,62,7.22,948723.0,1533803,30636,TV,24,Finished Airing,Winter,2018,Sci-Fi,
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,226,63,8.32,939593.0,1531927,32039,TV,11,Finished Airing,Spring,2011,Drama,
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,226,63,8.32,939593.0,1531927,32039,TV,11,Finished Airing,Spring,2011,Supernatural,
Tengen Toppa Gurren Lagann,75,64,8.63,855439.0,1524337,74923,TV,27,Finished Airing,Spring,2007,Action,
Tengen Toppa Gurren Lagann,75,64,8.63,855439.0,1524337,74923,TV,27,Finished Airing,Spring,2007,Adventure,
Tengen Toppa Gurren Lagann,75,64,8.63,855439.0,1524337,74923,TV,27,Finished Airing,Spring,2007,Award Winning,
Tengen Toppa Gurren Lagann,75,64,8.63,855439.0,1524337,74923,TV,27,Finished Airing,Spring,2007,Sci-Fi,
Charlotte,1015,65,7.75,920747.0,1506760,21828,TV,13,Finished Airing,Summer,2015,,
Black Clover,415,66,8.14,756847.0,1503799,42280,TV,170,Finished Airing,Fall,2017,Action,Shounen
Black Clover,415,66,8.14,756847.0,1503799,42280,TV,170,Finished Airing,Fall,2017,Comedy,Shounen
Black Clover,415,66,8.14,756847.0,1503799,42280,TV,170,Finished Airing,Fall,2017,Fantasy,Shounen
Hataraku Maou-sama!,997,67,7.76,908694.0,1480289,10867,TV,13,Finished Airing,Spring,2013,Comedy,
Hataraku Maou-sama!,997,67,7.76,908694.0,1480289,10867,TV,13,Finished Airing,Spring,2013,Fantasy,
Overlord,702,68,7.92,881728.0,1478787,24664,TV,13,Finished Airing,Summer,2015,Action,
Overlord,702,68,7.92,881728.0,1478787,24664,TV,13,Finished Airing,Summer,2015,Adventure,
Overlord,702,68,7.92,881728.0,1478787,24664,TV,13,Finished Airing,Summer,2015,Fantasy,
Tate no Yuusha no Nariagari,595,69,7.99,909702.0,1463487,25350,TV,25,Finished Airing,Winter,2019,Action,
Tate no Yuusha no Nariagari,595,69,7.99,909702.0,1463487,25350,TV,25,Finished Airing,Winter,2019,Adventure,
Tate no Yuusha no Nariagari,595,69,7.99,909702.0,1463487,25350,TV,25,Finished Airing,Winter,2019,Drama,
Tate no Yuusha no Nariagari,595,69,7.99,909702.0,1463487,25350,TV,25,Finished Airing,Winter,2019,Fantasy,
Elfen Lied,1754,70,7.49,841329.0,1443578,23335,TV,13,Finished Airing,Summer,2004,Action,Seinen
Elfen Lied,1754,70,7.49,841329.0,1443578,23335,TV,13,Finished Airing,Summer,2004,Drama,Seinen
Elfen Lied,1754,70,7.49,841329.0,1443578,23335,TV,13,Finished Airing,Summer,2004,Horror,Seinen
Elfen Lied,1754,70,7.49,841329.0,1443578,23335,TV,13,Finished Airing,Summer,2004,Romance,Seinen
Elfen Lied,1754,70,7.49,841329.0,1443578,23335,TV,13,Finished Airing,Summer,2004,Supernatural,Seinen
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,1547,71,7.55,899037.0,1439461,11353,TV,13,Finished Airing,Spring,2015,Action,
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,1547,71,7.55,899037.0,1439461,11353,TV,13,Finished Airing,Spring,2015,Adventure,
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,1547,71,7.55,899037.0,1439461,11353,TV,13,Finished Airing,Spring,2015,Fantasy,
Highschool of the Dead,3698,72,7.08,899532.0,1428763,9768,TV,12,Finished Airing,Summer,2010,Action,Shounen
Highschool of the Dead,3698,72,7.08,899532.0,1428763,9768,TV,12,Finished Airing,Summer,2010,Horror,Shounen
Highschool of the Dead,3698,72,7.08,899532.0,1428763,9768,TV,12,Finished Airing,Summer,2010,Supernatural,Shounen
